Stammesnr.;VCP-Land;Bezirk/Gau/Region;Stammesname;Stammesort;;;;;;;;;;;;;;
121001;Hamburg;Harburg;Ulrich von Hutten;20095 Hamburg Neugraben;;;;;;;;;;;;;;
121002;Hamburg;Harburg;Klaus Störtebeker Finkenwerder;21129 Hamburg Finkenwerder;;;;;;;;;;;;;;
121003;Hamburg;Harburg;Bischof Ansgar Sinstorf;21077 Hamburg Sinstorf;;;;;;;;;;;;;;
121004;Hamburg;Harburg;Matthias Claudius;21077 Hamburg Eißendorf;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
122001;Hamburg;West;Simon von Utrecht;22587 Hamburg Blankenese;;;;;;;;;;;;;;
122002;Hamburg;West;Elbe;22605 Hamburg Othmarschen;;;;;;;;;;;;;;
122003;Hamburg;West;Sankt Rafael;22523 Hamburg Eidelstedt;;;;;;;;;;;;;;
122004;Hamburg;West;St. Paulus;20259 Hamburg Eimsbüttel;;;;;;;;;;;;;;
122005;Hamburg;West;Johannes Bugenhagen;22455 Hamburg Niendorf;;;;;;;;;;;;;;
122006;Hamburg;West;Weiße Rose ;25355 Barmstedt;;;;;;;;;;;;;;
122007;Hamburg;West;Graf Adolf von Schauenburg;20149 Hamburg Harvestehude;;;;;;;;;;;;;;
122008;Hamburg;West;Pfadfinderstamm bei der Lutherbuche;22529 Hamburg Lokstedt;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
123001;Hamburg;Alster-Bille;Astrid Lindgren ;22307 Hamburg Barmbek-Nord;;;;;;;;;;;;;;
123002;Hamburg;Alster-Bille;Hohenstaufen;22297 Hamburg Alsterdorf;;;;;;;;;;;;;;
123003;Hamburg;Alster-Bille;Bapu;22359 Hamburg Volksdorf;;;;;;;;;;;;;;
123004;Hamburg;Alster-Bille;Martin Luther King;22885 Barsbüttel;;;;;;;;;;;;;;
123005;Hamburg;Alster-Bille;Charlotte Paulsen;22041 Hamburg-Wandsbek;;;;;;;;;;;;;;
123006;Hamburg;Alster-Bille;Graf Rantzau;22926 Ahrensburg;;;;;;;;;;;;;;
